Urban Area,Population,Latitude,Longitude
Auckland,1478800,-36.8485,174.7633
Taihape,1800,-39.6824,175.7985
Edgecumbe,1820,-37.9816,176.8289
Paekākāriki,1830,-40.9756,174.9508
Bluff,1840,-46.5990,168.3347
Twizel,1850,-44.2542,170.0950
Coromandel,1930,-36.7596,175.4967
Te Puke,10250,-37.7818,176.3183
Lincoln,10250,-43.6476,172.4859
Hāwera,10350,-39.5913,174.2835
Dunedin,106200,-45.8788,170.5028
Lower Hutt,113000,-41.2092,174.9086
Wānaka,12400,-44.6980,169.1348
Waikanae,13150,-40.8822,175.0653
Kaiapoi,13600,-43.3851,172.6461
Te Awamutu,14000,-38.0081,175.3167
Oamaru,14000,-45.0971,170.9704
Tokoroa,14500,-38.2212,175.8703
Mosgiel,14800,-45.8788,170.3484
Havelock North,15200,-39.6729,176.8723
Whakatāne,16850,-37.9586,176.9907
Tauranga,161800,-37.6878,176.1651
Feilding,17750,-40.2270,175.5675
Hamilton,185300,-37.7870,175.2793
Richmond,19200,-41.3342,173.1886
Rangiora,19600,-43.3044,172.5897
Levin,19800,-40.6224,175.2757
Methven,2010,-43.6317,171.6485
Lake Hāwea,2020,-44.6154,169.2358
Murupara,2060,-38.4667,176.6995
Martinborough,2060,-41.2182,175.4620
Eltham,2080,-39.4290,174.2983
Moerewa,2090,-35.3855,174.0306
Clive,2090,-39.5947,176.9177
Ōtaki Beach,2150,-40.7593,175.1397
Foxton Beach,2170,-40.4665,175.2213
Bulls,2210,-40.1722,175.3821
Milton,2240,-46.1200,169.9650
Wellsford,2280,-36.2956,174.5236
Kaikōura,2360,-42.4008,173.6812
Brightwater,2370,-41.3443,173.1273
Oxford,2380,-43.3002,172.1861
Amberley,2380,-43.1575,172.7287
Waipawa,2400,-39.9406,176.5901
Leeston,2430,-43.7655,172.3016
West Melton,2450,-43.5339,172.4318
Winton,2460,-46.1455,168.3350
Maraetai,2580,-36.8741,175.0462
Renwick,2630,-41.5091,173.8158
Wakefield,2680,-41.3953,173.0516
Waihi Beach-Bowentown,2780,-37.4354,175.9417
Featherston,2780,-41.1264,175.3191
Mangawhai Heads,2800,-36.0994,174.5773
Greytown,2800,-41.0807,175.4522
Pahiatua,2840,-40.4546,175.8397
Ruakākā,2930,-35.8997,174.4420
Geraldine,2970,-44.0994,171.2385
Te Kauwhata,2980,-37.4147,175.1483
Ashburton,20800,-43.9031,171.7453
Cambridge,21800,-37.8911,175.4703
Wellington,215200,-41.2865,174.7762
Masterton,22600,-40.9597,175.6574
Taupō,26500,-38.6857,176.0702
Pukekohe,27400,-37.2021,174.9031
Timaru,28900,-44.3966,171.2540
Queenstown,29000,-45.0312,168.6626
Rolleston,29600,-43.5956,172.3834
Te Anau,3060,-45.4167,167.7167
Arrowtown,3060,-44.9384,168.8344
One Tree Point,3070,-35.8492,174.4367
Hokitika,3120,-42.7167,170.9667
Darfield,3150,-43.4872,172.1137
Lyttelton,3180,-43.6017,172.7192
Ōhope,3270,-37.9858,177.0114
Ōtorohanga,3320,-38.1888,175.1476
Helensville,3330,-36.6772,174.4535
Ashhurst,3350,-40.2994,175.6989
Foxton,3380,-40.4710,175.2978
Kihikihi,3390,-38.0107,175.3536
Waimate,3590,-44.7358,171.0363
Riverhead,3770,-36.7643,174.6076
Snells Beach,3810,-36.4224,174.7046
Tūrangi,3840,-38.9897,175.8063
Inglewood,3870,-39.1601,174.2992
Raglan,3880,-37.8017,174.8709
Blenheim,30500,-41.5134,173.9612
Paraparaumu,30800,-40.9181,174.9958
Gisborne,38200,-38.6623,178.0176
Christchurch,384800,-43.5321,172.6362
Pegasus,4180,-43.3182,172.6970
Westport,4250,-41.7544,171.6034
Balclutha,4340,-46.2325,169.7361
Whangamatā,4500,-37.2004,175.8676
Woodend,4550,-43.3074,172.5877
Putāruru,4600,-38.0546,175.7788
Paeroa,4640,-37.3834,175.6668
Te Aroha,4670,-37.5393,175.7176
Temuka,4680,-44.2388,171.2810
Te Kūiti,4680,-38.3412,175.1649
Waipukurau,4750,-39.9983,176.5593
Ōmokoroa,4770,-37.6204,176.0284
Taumarunui,4800,-38.8833,175.2565
Picton,4880,-41.2902,174.0081
Kaikohe,4980,-35.4071,173.8021
Whanganui,42800,-39.9313,175.0490
Upper Hutt,45400,-41.1232,175.0700
Wairoa,5020,-39.0406,177.4212
Dargaville,5130,-35.9333,173.8825
Ngongotahā,5230,-38.0746,176.1517
Prebbleton,5280,-43.5786,172.5139
Ōtaki,5300,-40.7581,175.1427
Ōpōtiki,5350,-38.0114,177.2877
Marton,5590,-40.0678,175.3761
Dannevirke,5640,-40.2092,176.1046
Katikati,5800,-37.5542,175.9198
Waihi,5870,-37.3907,175.8314
Carterton,5960,-41.0217,175.5277
Invercargill,51000,-46.4132,168.3538
Hastings,51500,-39.6381,176.8491
Nelson,51900,-41.2706,173.2840
Whangārei,56900,-35.7251,174.3237
Rotorua,58900,-38.1368,176.2497
New Plymouth,59600,-39.0578,174.0877
Tuakau,6030,-37.2724,174.9423
Alexandra,6120,-45.2488,169.3744
Stratford,6320,-39.3406,174.2839
Pōkeno,6370,-37.2412,175.0159
Kaitaia,6390,-35.1151,173.2621
Whitianga,6440,-36.8332,175.7003
Warkworth,6730,-36.3976,174.6620
Kumeū-Huapai,6930,-36.7946,174.5568
Porirua,60900,-41.1333,174.8503
Hibiscus Coast,64660,-36.6234,174.6903
Napier,67500,-39.4928,176.9120
Cromwell,7160,-45.0341,169.2042
Waitara,7550,-38.9926,174.2420
Thames,7630,-37.1385,175.5409
Beachlands-Pine Harbour,7770,-36.8800,175.0055
Kawerau,7820,-38.0983,176.6952
Ngāruawāhia,8170,-37.6625,175.1334
Gore,8240,-46.1025,168.9433
Waiheke Island,8270,-36.8020,175.1047
Kerikeri,8270,-35.2284,173.9473
Motueka,8320,-41.1236,173.0084
Greymouth,8340,-42.4507,171.2104
Huntly,8880,-37.5538,175.1646
Morrinsville,8960,-37.6584,175.5277
Palmerston North,82500,-40.3523,175.6082
Matamata,9130,-37.8109,175.7777
Waiuku,9800,-37.2468,174.7363
